episode,high_tile,steps
1737,256,209
1738,256,276
1739,256,326
1740,128,180
1741,256,330
1742,512,426
1743,512,417
1744,128,244
1745,64,121
1746,256,255
1747,256,337
1748,256,446
1749,256,176
1750,256,309
1751,256,279
1752,256,343
1753,256,437
1754,256,206
1755,128,172
1756,256,289
1757,256,288
1758,512,503
1759,128,142
1760,128,198
1761,256,363
1762,256,327
1763,1024,718
1764,128,171
1765,128,200
1766,128,246
1767,128,185
1768,256,295
1769,512,419
1770,256,256
1771,256,237
1772,256,359
1773,256,282
1774,128,186
1775,256,268
1776,256,269
1777,256,311
1778,128,139
1779,64,153
1780,256,286
1781,512,409
1782,128,192
1783,128,227
1784,512,471
1785,256,285
1786,128,162
1787,128,223
1788,256,373
1789,256,299
1790,256,386
1791,256,312
1792,512,455
1793,256,243
1794,128,151
1795,512,484
1796,256,234
1797,256,277
1798,256,269
1799,128,174
1800,1024,772
1801,256,315
1802,256,303
1803,64,118
1804,512,494
1805,1024,671
1806,512,367
1807,512,503
1808,512,425
1809,256,282
1810,256,249
1811,256,344
1812,64,158
1813,256,287
1814,256,286
1815,512,487
1816,256,290
1817,1024,683
1818,512,482
1819,128,183
1820,512,566
1821,256,353
1822,64,122
1823,512,624
1824,512,564
1825,256,404
1826,256,200
1827,256,273
1828,256,403
1829,256,342
1830,128,163
1831,512,458
1832,512,574
1833,512,558
1834,1024,549
1835,256,257
1836,512,662
1837,512,425
1838,64,97
1839,256,208
1840,256,392
1841,512,435
1842,512,491
1843,512,496
1844,64,119
1845,512,511
1846,256,324
1847,1024,695
1848,512,426
1849,256,330
1850,256,316
1851,128,191
1852,1024,643
1853,512,431
1854,256,367
1855,1024,770
1856,128,149
1857,256,229
1858,128,171
1859,256,232
1860,512,482
1861,1024,931
1862,256,297
1863,256,329
1864,256,405
1865,512,467
1866,512,453
1867,512,545
1868,512,502
1869,512,436
1870,1024,745
1871,256,303
1872,256,301
1873,512,501
1874,64,139
1875,256,265
1876,256,214
1877,64,115
1878,1024,641
1879,512,460
1880,512,415
1881,256,237
1882,1024,583
1883,512,400
1884,128,166
1885,128,172
1886,256,301
1887,1024,738
1888,512,361
1889,512,618
1890,128,158
1891,128,217
1892,512,339
1893,256,346
1894,256,203
1895,128,144
1896,512,518
1897,512,425
1898,256,285
1899,128,168
1900,256,263
1901,256,211
1902,512,427
1903,512,461
1904,512,588
1905,256,340
1906,64,91
1907,256,313
1908,256,261
1909,256,302
1910,256,295
1911,128,222
1912,128,164
1913,512,386
1914,1024,663
1915,512,525
1916,256,278
1917,256,302
1918,512,437
1919,512,448
1920,512,438
1921,512,445
1922,128,115
1923,256,245
1924,256,286
1925,256,365
1926,512,420
1927,256,303
1928,256,318
1929,512,570
1930,32,65
1931,512,399
1932,256,246
1933,512,427
1934,256,314
1935,256,309
1936,256,272
1937,512,410
1938,64,110
1939,256,406
1940,512,528
1941,256,321
1942,512,568
1943,256,239
1944,256,263
1945,512,628
1946,512,503
1947,256,353
1948,256,352
1949,256,234
1950,512,527
1951,1024,611
1952,512,438
1953,512,560
1954,512,495
1955,256,255
1956,512,490
1957,128,199
1958,512,376
1959,1024,816
1960,512,458
1961,512,461
1962,512,519
1963,512,382
1964,512,380
1965,512,533
1966,512,598
1967,512,378
1968,512,498
1969,512,464
1970,256,283
1971,256,324
1972,256,353
1973,256,320
1974,512,498
1975,256,282
1976,1024,645
1977,256,271
1978,512,461
1979,512,497
1980,512,477
1981,512,519
1982,512,455
1983,512,612
1984,512,431
1985,256,235
1986,512,448
1987,512,457
1988,256,318
1989,256,310
1990,1024,695
1991,256,417
1992,512,551
1993,256,241
1994,512,452
1995,64,70
1996,256,323
1997,512,449
1998,512,428
1999,128,115
2000,512,407
2001,512,596
2002,256,267
2003,512,422
2004,512,429
2005,256,291
2006,256,263
2007,64,103
2008,512,356
2009,512,449
2010,512,574
2011,256,318
2012,128,219
2013,128,197
2014,512,495
2015,256,258
2016,256,307
2017,512,523
2018,512,598
2019,512,578
2020,256,304
2021,512,492
2022,512,471
2023,256,275
2024,512,561
2025,256,276
2026,256,291
2027,128,152
2028,512,453
2029,256,325
2030,1024,872
2031,256,196
2032,256,278
2033,512,576
2034,256,243
2035,512,349
2036,1024,728
2037,1024,877
2038,128,182
2039,256,230
2040,256,363
2041,512,467
2042,512,396
2043,256,286
2044,512,576
2045,512,357
2046,128,202
2047,512,394
2048,128,189
2049,512,556
2050,256,298
2051,512,460
2052,1024,652
2053,256,281
2054,512,478
2055,256,227
2056,512,426
2057,512,537
2058,512,552
2059,512,416
2060,512,436
2061,256,263
2062,512,526
2063,256,225
2064,512,352
2065,128,167
2066,128,132
2067,512,616
2068,128,213
2069,256,265
2070,256,287
2071,256,280
2072,256,302
2073,1024,640
2074,256,238
2075,512,535
2076,512,348
2077,512,559
2078,256,259
2079,512,406
2080,256,392
2081,512,597
2082,256,363
2083,128,151
2084,512,412
2085,256,322
2086,512,673
2087,128,229
2088,64,80
2089,256,291
2090,128,139
